"Kod";"Nazwa";"ogółem;2023;[zł]";
0201000;"Powiat bolesławiecki";142399515,72;
0202000;"Powiat dzierżoniowski";145439131,79;
0203000;"Powiat głogowski";180534911,75;
0204000;"Powiat górowski";66650624,91;
0205000;"Powiat jaworski";107240697,73;
0206000;"Powiat karkonoski";102995994,05;
0207000;"Powiat kamiennogórski";68002155,08;
0208000;"Powiat kłodzki";287589725,78;
0209000;"Powiat legnicki";125319044,37;
0210000;"Powiat lubański";84207090,93;
0211000;"Powiat lubiński";250320501,15;
0212000;"Powiat lwówecki";107817886,79;
0213000;"Powiat milicki";86570330,84;
0214000;"Powiat oleśnicki";179822559,68;
0215000;"Powiat oławski";131749969,54;
0216000;"Powiat polkowicki";99260822,47;
0217000;"Powiat strzeliński";73756788,34;
0218000;"Powiat średzki";94661904,41;
0219000;"Powiat świdnicki";250668398,51;
0220000;"Powiat trzebnicki";136938727,85;
0221000;"Powiat wałbrzyski";75180927,85;
0222000;"Powiat wołowski";93735022,56;
0223000;"Powiat wrocławski";181228539,91;
0224000;"Powiat ząbkowicki";136524130,48;
0225000;"Powiat zgorzelecki";155833930,76;
0226000;"Powiat złotoryjski";87684203,03;
0401000;"Powiat aleksandrowski";89577476,88;
0402000;"Powiat brodnicki";119571821,05;
0403000;"Powiat bydgoski";116888430,23;
0404000;"Powiat chełmiński";103619975,24;
0405000;"Powiat golubsko-dobrzyński";78225798,41;
0406000;"Powiat grudziądzki";61280543,59;
0407000;"Powiat inowrocławski";256695152,33;
0408000;"Powiat lipnowski";107125202,74;
0409000;"Powiat mogileński";102659557,57;
0410000;"Powiat nakielski";150256624,91;
0411000;"Powiat radziejowski";93916089,14;
0412000;"Powiat rypiński";94661070,30;
0413000;"Powiat sępoleński";79403259,86;
0414000;"Powiat świecki";161041957,22;
0415000;"Powiat toruński";150975327,07;
0416000;"Powiat tucholski";96049040,70;
0417000;"Powiat wąbrzeski";66236676,73;
0418000;"Powiat włocławski";169851347,04;
0419000;"Powiat żniński";107241238,79;
0601000;"Powiat bialski";176898811,99;
0602000;"Powiat biłgorajski";169427987,52;
0603000;"Powiat chełmski";123479006,56;
0604000;"Powiat hrubieszowski";119542542,21;
0605000;"Powiat janowski";122232289,79;
0606000;"Powiat krasnostawski";151379278,60;
0607000;"Powiat kraśnicki";208303284,85;
0608000;"Powiat lubartowski";163116530,97;
0609000;"Powiat lubelski";245009187,68;
0610000;"Powiat łęczyński";113606907,93;
0611000;"Powiat łukowski";201911344,95;
0612000;"Powiat opolski";95166084,76;
0613000;"Powiat parczewski";51200148,65;
0614000;"Powiat puławski";214350302,06;
0615000;"Powiat radzyński";142500203,52;
0616000;"Powiat rycki";134503495,97;
0617000;"Powiat świdnicki";122513267,77;
0618000;"Powiat tomaszowski";114957148,96;
0619000;"Powiat włodawski";130992723,62;
0620000;"Powiat zamojski";136049210,81;
0801000;"Powiat gorzowski";87056897,46;
0802000;"Powiat krośnieński";88305144,22;
0803000;"Powiat międzyrzecki";104053684,17;
0804000;"Powiat nowosolski";143171873,67;
0805000;"Powiat słubicki";69037086,42;
0806000;"Powiat strzelecko-drezdenecki";69772596,68;
0807000;"Powiat sulęciński";67893710,48;
0808000;"Powiat świebodziński";128050177,32;
0809000;"Powiat zielonogórski";119269478,87;
0810000;"Powiat żagański";132359123,98;
0811000;"Powiat żarski";170977991,35;
0812000;"Powiat wschowski";75709251,58;
1001000;"Powiat bełchatowski";173062921,30;
1002000;"Powiat kutnowski";176380916,92;
1003000;"Powiat łaski";81237327,04;
1004000;"Powiat łęczycki";100871635,42;
1005000;"Powiat łowicki";135130330,44;
1006000;"Powiat łódzki wschodni";111010339,05;
1007000;"Powiat opoczyński";148015820,51;
1008000;"Powiat pabianicki";164195340,81;
1009000;"Powiat pajęczański";105728015,88;
1010000;"Powiat piotrkowski";107824649,41;
1011000;"Powiat poddębicki";88469861,35;
1012000;"Powiat radomszczański";187988882,29;
1013000;"Powiat rawski";88234178,93;
1014000;"Powiat sieradzki";208536117,67;
1015000;"Powiat skierniewicki";41187356,80;
1016000;"Powiat tomaszowski";192180117,60;
1017000;"Powiat wieluński";158121732,60;
1018000;"Powiat wieruszowski";74001833,78;
1019000;"Powiat zduńskowolski";153378798,52;
1020000;"Powiat zgierski";218988223,41;
1021000;"Powiat brzeziński";70972332,93;
1201000;"Powiat bocheński";191689101,21;
1202000;"Powiat brzeski";137007498,33;
1203000;"Powiat chrzanowski";166386450,94;
1204000;"Powiat dąbrowski";98210894,89;
1205000;"Powiat gorlicki";196316985,74;
1206000;"Powiat krakowski";364756185,69;
1207000;"Powiat limanowski";255161348,07;
1208000;"Powiat miechowski";121596253,59;
1209000;"Powiat myślenicki";205000766,63;
1210000;"Powiat nowosądecki";266468036,02;
1211000;"Powiat nowotarski";345319133,51;
1212000;"Powiat olkuski";195590227,83;
1213000;"Powiat oświęcimski";273984895,79;
1214000;"Powiat proszowicki";82138633,02;
1215000;"Powiat suski";169615247,37;
1216000;"Powiat tarnowski";228560034,50;
1217000;"Powiat tatrzański";110278766,21;
1218000;"Powiat wadowicki";276407250,65;
1219000;"Powiat wielicki";182004442,36;
1401000;"Powiat białobrzeski";78545161,72;
1402000;"Powiat ciechanowski";144368184,72;
1403000;"Powiat garwoliński";226005920,17;
1404000;"Powiat gostyniński";86763957,84;
1405000;"Powiat grodziski";213715430,95;
1406000;"Powiat grójecki";196737621,90;
1407000;"Powiat kozienicki";99622162,35;
1408000;"Powiat legionowski";162958020,56;
1409000;"Powiat lipski";96458561,60;
1410000;"Powiat łosicki";78481633,91;
1411000;"Powiat makowski";105716423,57;
1412000;"Powiat miński";248023522,13;
1413000;"Powiat mławski";162884824,43;
1414000;"Powiat nowodworski";116697204,41;
1415000;"Powiat ostrołęcki";156131079,96;
1416000;"Powiat ostrowski";105607327,27;
1417000;"Powiat otwocki";202330022,34;
1418000;"Powiat piaseczyński";363187958,01;
1419000;"Powiat płocki";181968087,13;
1420000;"Powiat płoński";161175498,39;
1421000;"Powiat pruszkowski";263734392,84;
