"Kod";"Nazwa";"dotacje celowe;ogółem;2023;[zł]";
0201000;"Powiat bolesławiecki";33579001,90;
0202000;"Powiat dzierżoniowski";24447058,48;
0203000;"Powiat głogowski";31397165,23;
0204000;"Powiat górowski";17451487,64;
0205000;"Powiat jaworski";24436025,22;
0206000;"Powiat karkonoski";25816931,08;
0207000;"Powiat kamiennogórski";17907200,31;
0208000;"Powiat kłodzki";59709078,42;
0209000;"Powiat legnicki";51171097,16;
0210000;"Powiat lubański";15044688,01;
0211000;"Powiat lubiński";73760454,89;
0212000;"Powiat lwówecki";24065708,00;
0213000;"Powiat milicki";24040676,89;
0214000;"Powiat oleśnicki";37220432,97;
0215000;"Powiat oławski";34289291,68;
0216000;"Powiat polkowicki";28357119,82;
0217000;"Powiat strzeliński";12350024,85;
0218000;"Powiat średzki";43091166,62;
0219000;"Powiat świdnicki";46912416,17;
0220000;"Powiat trzebnicki";36721616,08;
0221000;"Powiat wałbrzyski";18099095,95;
0222000;"Powiat wołowski";21574271,04;
0223000;"Powiat wrocławski";11492532,64;
0224000;"Powiat ząbkowicki";35216126,69;
0225000;"Powiat zgorzelecki";32448564,73;
0226000;"Powiat złotoryjski";32920438,29;
0401000;"Powiat aleksandrowski";21142530,17;
0402000;"Powiat brodnicki";19206865,60;
0403000;"Powiat bydgoski";13176076,69;
0404000;"Powiat chełmiński";28618805,13;
0405000;"Powiat golubsko-dobrzyński";21244121,07;
0406000;"Powiat grudziądzki";13371504,92;
0407000;"Powiat inowrocławski";37572445,00;
0408000;"Powiat lipnowski";20340608,02;
0409000;"Powiat mogileński";18705812,96;
0410000;"Powiat nakielski";33821198,91;
0411000;"Powiat radziejowski";27067951,07;
0412000;"Powiat rypiński";21154148,04;
0413000;"Powiat sępoleński";15690828,21;
0414000;"Powiat świecki";35942681,96;
0415000;"Powiat toruński";22686523,25;
0416000;"Powiat tucholski";22593708,21;
0417000;"Powiat wąbrzeski";21711586,80;
0418000;"Powiat włocławski";30978612,67;
0419000;"Powiat żniński";17468058,05;
0601000;"Powiat bialski";33133396,34;
0602000;"Powiat biłgorajski";36641381,21;
