"Kod";"Nazwa";"ogółem;mieszkania;2023;[-]";
0201000;"Powiat bolesławiecki";35291;
0202000;"Powiat dzierżoniowski";41221;
0203000;"Powiat głogowski";34795;
0204000;"Powiat górowski";12329;
0205000;"Powiat jaworski";18726;
0206000;"Powiat karkonoski";27618;
0207000;"Powiat kamiennogórski";17201;
0208000;"Powiat kłodzki";66767;
0209000;"Powiat legnicki";20280;
0210000;"Powiat lubański";21344;
0211000;"Powiat lubiński";43950;
0212000;"Powiat lwówecki";17346;
0213000;"Powiat milicki";12721;
0214000;"Powiat oleśnicki";40785;
0215000;"Powiat oławski";31822;
0216000;"Powiat polkowicki";23411;
0217000;"Powiat strzeliński";16066;
0218000;"Powiat średzki";22241;
0219000;"Powiat świdnicki";64794;
0220000;"Powiat trzebnicki";31709;
0221000;"Powiat wałbrzyski";23035;
0222000;"Powiat wołowski";18319;
0223000;"Powiat wrocławski";72868;
0224000;"Powiat ząbkowicki";25036;
0225000;"Powiat zgorzelecki";36166;
0226000;"Powiat złotoryjski";16185;
0401000;"Powiat aleksandrowski";21041;
0402000;"Powiat brodnicki";28399;
0403000;"Powiat bydgoski";44033;
0404000;"Powiat chełmiński";16981;
0405000;"Powiat golubsko-dobrzyński";15127;
0406000;"Powiat grudziądzki";13154;
0407000;"Powiat inowrocławski";60199;
0408000;"Powiat lipnowski";20988;
0409000;"Powiat mogileński";15403;
0410000;"Powiat nakielski";28660;
0411000;"Powiat radziejowski";12662;
0412000;"Powiat rypiński";14837;
0413000;"Powiat sępoleński";12764;
0414000;"Powiat świecki";33891;
0415000;"Powiat toruński";37370;
0416000;"Powiat tucholski";15872;
0417000;"Powiat wąbrzeski";11779;
0418000;"Powiat włocławski";27915;
0419000;"Powiat żniński";23920;
0601000;"Powiat bialski";40063;
0602000;"Powiat biłgorajski";32801;
0603000;"Powiat chełmski";28083;
0604000;"Powiat hrubieszowski";22547;
0605000;"Powiat janowski";13541;
0606000;"Powiat krasnostawski";23941;
0607000;"Powiat kraśnicki";32108;
0608000;"Powiat lubartowski";31618;
0609000;"Powiat lubelski";56280;
0610000;"Powiat łęczyński";19943;
0611000;"Powiat łukowski";35623;
