"Kod";"Nazwa";"ogółem;ogółem;2023;[ob.]";
0201000;"Powiat bolesławiecki";1;
0202000;"Powiat dzierżoniowski";2;
0203000;"Powiat głogowski";1;
0204000;"Powiat górowski";2;
0205000;"Powiat jaworski";1;
0206000;"Powiat karkonoski";1;
0207000;"Powiat kamiennogórski";1;
0208000;"Powiat kłodzki";3;
0209000;"Powiat legnicki";1;
0210000;"Powiat lubański";1;
0211000;"Powiat lubiński";2;
0212000;"Powiat lwówecki";1;
0214000;"Powiat oleśnicki";2;
0215000;"Powiat oławski";2;
0217000;"Powiat strzeliński";1;
0218000;"Powiat średzki";1;
0219000;"Powiat świdnicki";2;
0220000;"Powiat trzebnicki";2;
0222000;"Powiat wołowski";1;
0223000;"Powiat wrocławski";1;
0225000;"Powiat zgorzelecki";3;
0226000;"Powiat złotoryjski";1;
0401000;"Powiat aleksandrowski";1;
0404000;"Powiat chełmiński";1;
0407000;"Powiat inowrocławski";1;
0408000;"Powiat lipnowski";1;
0409000;"Powiat mogileński";1;
0412000;"Powiat rypiński";1;
0414000;"Powiat świecki";1;
0419000;"Powiat żniński";1;
0601000;"Powiat bialski";1;
0602000;"Powiat biłgorajski";1;
0604000;"Powiat hrubieszowski";1;
0605000;"Powiat janowski";1;
0606000;"Powiat krasnostawski";1;
0607000;"Powiat kraśnicki";1;
0608000;"Powiat lubartowski";1;
0611000;"Powiat łukowski";1;
0612000;"Powiat opolski";2;
0614000;"Powiat puławski";3;
0616000;"Powiat rycki";1;
0617000;"Powiat świdnicki";1;
0618000;"Powiat tomaszowski";1;
0619000;"Powiat włodawski";1;
0620000;"Powiat zamojski";1;
0801000;"Powiat gorzowski";1;
0803000;"Powiat międzyrzecki";2;
0804000;"Powiat nowosolski";1;
0805000;"Powiat słubicki";2;
0808000;"Powiat świebodziński";1;
0810000;"Powiat żagański";2;
0811000;"Powiat żarski";1;
1001000;"Powiat bełchatowski";2;
1002000;"Powiat kutnowski";1;
1004000;"Powiat łęczycki";1;
1005000;"Powiat łowicki";1;
1006000;"Powiat łódzki wschodni";1;
1007000;"Powiat opoczyński";2;
1008000;"Powiat pabianicki";2;
1009000;"Powiat pajęczański";1;
1012000;"Powiat radomszczański";1;
1013000;"Powiat rawski";1;
1014000;"Powiat sieradzki";1;
1016000;"Powiat tomaszowski";1;
1017000;"Powiat wieluński";1;
1018000;"Powiat wieruszowski";1;
1019000;"Powiat zduńskowolski";1;
1201000;"Powiat bocheński";1;
1202000;"Powiat brzeski";1;
1203000;"Powiat chrzanowski";3;
1204000;"Powiat dąbrowski";1;
1205000;"Powiat gorlicki";1;
1206000;"Powiat krakowski";1;
1207000;"Powiat limanowski";1;
1208000;"Powiat miechowski";1;
1209000;"Powiat myślenicki";1;
1210000;"Powiat nowosądecki";3;
1211000;"Powiat nowotarski";2;
1212000;"Powiat olkuski";2;
1213000;"Powiat oświęcimski";4;
1215000;"Powiat suski";1;
1216000;"Powiat tarnowski";3;
1217000;"Powiat tatrzański";2;
1218000;"Powiat wadowicki";1;
1219000;"Powiat wielicki";1;
1402000;"Powiat ciechanowski";1;
1403000;"Powiat garwoliński";1;
1405000;"Powiat grodziski";2;
1406000;"Powiat grójecki";1;
1407000;"Powiat kozienicki";1;
1408000;"Powiat legionowski";1;
1409000;"Powiat lipski";1;
1411000;"Powiat makowski";1;
1412000;"Powiat miński";1;
1413000;"Powiat mławski";1;
1414000;"Powiat nowodworski";1;
1416000;"Powiat ostrowski";1;
1417000;"Powiat otwocki";2;
1418000;"Powiat piaseczyński";1;
1420000;"Powiat płoński";1;
1421000;"Powiat pruszkowski";3;
1424000;"Powiat pułtuski";1;
1425000;"Powiat radomski";1;
1427000;"Powiat sierpecki";1;
1428000;"Powiat sochaczewski";3;
1429000;"Powiat sokołowski";1;
1432000;"Powiat warszawski zachodni";1;
1433000;"Powiat węgrowski";2;
1434000;"Powiat wołomiński";1;
1435000;"Powiat wyszkowski";1;
1436000;"Powiat zwoleński";1;
1437000;"Powiat żuromiński";1;
1438000;"Powiat żyrardowski";2;
1601000;"Powiat brzeski";2;
1603000;"Powiat kędzierzyńsko-kozielski";3;
1604000;"Powiat kluczborski";1;
1605000;"Powiat krapkowicki";1;
1607000;"Powiat nyski";2;
1610000;"Powiat prudnicki";1;
1801000;"Powiat bieszczadzki";1;
1802000;"Powiat brzozowski";1;
1803000;"Powiat dębicki";1;
1804000;"Powiat jarosławski";2;
1805000;"Powiat jasielski";1;
