"Kod";"Nazwa";"artystyczno - rozrywkowe;ogółem;2023;[-]";
0201000;"Powiat bolesławiecki";4;
0202000;"Powiat dzierżoniowski";6;
0203000;"Powiat głogowski";2;
0204000;"Powiat górowski";2;
0205000;"Powiat jaworski";6;
0206000;"Powiat karkonoski";1;
0207000;"Powiat kamiennogórski";1;
0208000;"Powiat kłodzki";12;
0209000;"Powiat legnicki";5;
0210000;"Powiat lubański";1;
0211000;"Powiat lubiński";19;
0212000;"Powiat lwówecki";2;
0213000;"Powiat milicki";2;
0214000;"Powiat oleśnicki";10;
0215000;"Powiat oławski";10;
0216000;"Powiat polkowicki";10;
0217000;"Powiat strzeliński";2;
0219000;"Powiat świdnicki";6;
0220000;"Powiat trzebnicki";4;
0222000;"Powiat wołowski";4;
0223000;"Powiat wrocławski";5;
0224000;"Powiat ząbkowicki";3;
0225000;"Powiat zgorzelecki";10;
0226000;"Powiat złotoryjski";1;
0401000;"Powiat aleksandrowski";2;
0402000;"Powiat brodnicki";4;
0403000;"Powiat bydgoski";9;
0404000;"Powiat chełmiński";2;
0406000;"Powiat grudziądzki";1;
0407000;"Powiat inowrocławski";11;
0408000;"Powiat lipnowski";3;
0409000;"Powiat mogileński";1;
0410000;"Powiat nakielski";2;
0411000;"Powiat radziejowski";3;
0412000;"Powiat rypiński";2;
0413000;"Powiat sępoleński";2;
0414000;"Powiat świecki";5;
0415000;"Powiat toruński";3;
0416000;"Powiat tucholski";2;
0417000;"Powiat wąbrzeski";1;
0418000;"Powiat włocławski";10;
0419000;"Powiat żniński";4;
0601000;"Powiat bialski";11;
0602000;"Powiat biłgorajski";4;
0603000;"Powiat chełmski";2;
0605000;"Powiat janowski";3;
0606000;"Powiat krasnostawski";4;
0607000;"Powiat kraśnicki";6;
0608000;"Powiat lubartowski";1;
0609000;"Powiat lubelski";4;
0610000;"Powiat łęczyński";2;
0611000;"Powiat łukowski";3;
0612000;"Powiat opolski";3;
0613000;"Powiat parczewski";1;
0614000;"Powiat puławski";15;
0615000;"Powiat radzyński";1;
0616000;"Powiat rycki";4;
0617000;"Powiat świdnicki";1;
0618000;"Powiat tomaszowski";5;
0619000;"Powiat włodawski";3;
0620000;"Powiat zamojski";125;
0801000;"Powiat gorzowski";2;
0802000;"Powiat krośnieński";4;
0803000;"Powiat międzyrzecki";2;
0804000;"Powiat nowosolski";6;
0805000;"Powiat słubicki";5;
0806000;"Powiat strzelecko-drezdenecki";3;
0807000;"Powiat sulęciński";2;
0808000;"Powiat świebodziński";6;
0809000;"Powiat zielonogórski";2;
0810000;"Powiat żagański";3;
0811000;"Powiat żarski";2;
0812000;"Powiat wschowski";5;
1001000;"Powiat bełchatowski";7;
1002000;"Powiat kutnowski";2;
1003000;"Powiat łaski";1;
1004000;"Powiat łęczycki";2;
1005000;"Powiat łowicki";7;
1006000;"Powiat łódzki wschodni";5;
1007000;"Powiat opoczyński";4;
1008000;"Powiat pabianicki";4;
1009000;"Powiat pajęczański";3;
1010000;"Powiat piotrkowski";2;
1011000;"Powiat poddębicki";6;
1012000;"Powiat radomszczański";3;
1013000;"Powiat rawski";3;
1014000;"Powiat sieradzki";9;
1015000;"Powiat skierniewicki";2;
1016000;"Powiat tomaszowski";8;
1017000;"Powiat wieluński";1;
1018000;"Powiat wieruszowski";1;
1019000;"Powiat zduńskowolski";3;
1020000;"Powiat zgierski";8;
1201000;"Powiat bocheński";7;
1202000;"Powiat brzeski";3;
1203000;"Powiat chrzanowski";7;
1204000;"Powiat dąbrowski";2;
1205000;"Powiat gorlicki";4;
1206000;"Powiat krakowski";8;
1207000;"Powiat limanowski";5;
1208000;"Powiat miechowski";2;
1209000;"Powiat myślenicki";5;
1210000;"Powiat nowosądecki";18;
1211000;"Powiat nowotarski";5;
1212000;"Powiat olkuski";4;
1213000;"Powiat oświęcimski";13;
1214000;"Powiat proszowicki";1;
1216000;"Powiat tarnowski";11;
1217000;"Powiat tatrzański";5;
1218000;"Powiat wadowicki";4;
1219000;"Powiat wielicki";5;
1401000;"Powiat białobrzeski";2;
1402000;"Powiat ciechanowski";4;
1403000;"Powiat garwoliński";6;
1404000;"Powiat gostyniński";1;
1405000;"Powiat grodziski";11;
1406000;"Powiat grójecki";6;
1407000;"Powiat kozienicki";6;
1408000;"Powiat legionowski";8;
1409000;"Powiat lipski";5;
1410000;"Powiat łosicki";1;
1412000;"Powiat miński";5;
1413000;"Powiat mławski";2;
1414000;"Powiat nowodworski";3;
1415000;"Powiat ostrołęcki";4;
1416000;"Powiat ostrowski";6;
1417000;"Powiat otwocki";6;
1418000;"Powiat piaseczyński";2;
1419000;"Powiat płocki";6;
1420000;"Powiat płoński";3;
1421000;"Powiat pruszkowski";14;
1422000;"Powiat przasnyski";3;
1423000;"Powiat przysuski";4;
1424000;"Powiat pułtuski";1;
1425000;"Powiat radomski";4;
1426000;"Powiat siedlecki";6;
1427000;"Powiat sierpecki";1;
1428000;"Powiat sochaczewski";5;
1430000;"Powiat szydłowiecki";2;
1432000;"Powiat warszawski zachodni";5;
1433000;"Powiat węgrowski";2;
1434000;"Powiat wołomiński";11;
1435000;"Powiat wyszkowski";1;
1436000;"Powiat zwoleński";2;
1437000;"Powiat żuromiński";3;
1601000;"Powiat brzeski";1;
1602000;"Powiat głubczycki";1;
1603000;"Powiat kędzierzyńsko-kozielski";4;
1604000;"Powiat kluczborski";1;
1605000;"Powiat krapkowicki";7;
1606000;"Powiat namysłowski";3;
1607000;"Powiat nyski";5;
1608000;"Powiat oleski";1;
1609000;"Powiat opolski";2;
1610000;"Powiat prudnicki";2;
1611000;"Powiat strzelecki";3;
1801000;"Powiat bieszczadzki";3;
1802000;"Powiat brzozowski";3;
1803000;"Powiat dębicki";3;
1804000;"Powiat jarosławski";5;
1805000;"Powiat jasielski";8;
1806000;"Powiat kolbuszowski";3;
1807000;"Powiat krośnieński";6;
1808000;"Powiat leżajski";2;
1809000;"Powiat lubaczowski";2;
1810000;"Powiat łańcucki";2;
1811000;"Powiat mielecki";4;
1812000;"Powiat niżański";6;
1814000;"Powiat przeworski";3;
1815000;"Powiat ropczycko-sędziszowski";5;
1816000;"Powiat rzeszowski";7;
1817000;"Powiat sanocki";1;
1818000;"Powiat stalowowolski";4;
1821000;"Powiat leski";3;
2001000;"Powiat augustowski";8;
2002000;"Powiat białostocki";9;
2003000;"Powiat bielski";3;
2004000;"Powiat grajewski";3;
2005000;"Powiat hajnowski";1;
2007000;"Powiat łomżyński";6;
2008000;"Powiat moniecki";2;
2009000;"Powiat sejneński";3;
2010000;"Powiat siemiatycki";9;
2011000;"Powiat sokólski";3;
2012000;"Powiat suwalski";2;
2013000;"Powiat wysokomazowiecki";1;
2014000;"Powiat zambrowski";1;
2201000;"Powiat bytowski";4;
2202000;"Powiat chojnicki";4;
2203000;"Powiat człuchowski";4;
2204000;"Powiat gdański";1;
2205000;"Powiat kartuski";6;
2207000;"Powiat kwidzyński";8;
2208000;"Powiat lęborski";4;
2209000;"Powiat malborski";7;
2210000;"Powiat nowodworski";1;
2211000;"Powiat pucki";12;
2212000;"Powiat słupski";5;
2213000;"Powiat starogardzki";7;
2214000;"Powiat tczewski";5;
2215000;"Powiat wejherowski";9;
2216000;"Powiat sztumski";1;
2401000;"Powiat będziński";17;
2402000;"Powiat bielski";5;
2403000;"Powiat cieszyński";17;
2404000;"Powiat częstochowski";2;
2405000;"Powiat gliwicki";3;
2406000;"Powiat kłobucki";2;
2407000;"Powiat lubliniecki";4;
2408000;"Powiat mikołowski";3;
2409000;"Powiat myszkowski";2;
2410000;"Powiat pszczyński";3;
2411000;"Powiat raciborski";5;
2412000;"Powiat rybnicki";3;
2413000;"Powiat tarnogórski";2;
2414000;"Powiat bieruńsko-lędziński";4;
2416000;"Powiat zawierciański";12;
2417000;"Powiat żywiecki";14;
2601000;"Powiat buski";1;
2602000;"Powiat jędrzejowski";4;
2603000;"Powiat kazimierski";1;
2604000;"Powiat kielecki";12;
2605000;"Powiat konecki";4;
2607000;"Powiat ostrowiecki";14;
2608000;"Powiat pińczowski";2;
2609000;"Powiat sandomierski";24;
2610000;"Powiat skarżyski";1;
2611000;"Powiat starachowicki";4;
2612000;"Powiat staszowski";8;
2613000;"Powiat włoszczowski";4;
2801000;"Powiat bartoszycki";3;
2802000;"Powiat braniewski";2;
2803000;"Powiat działdowski";4;
2804000;"Powiat elbląski";1;
2805000;"Powiat ełcki";4;
2806000;"Powiat giżycki";13;
2807000;"Powiat iławski";17;
2809000;"Powiat lidzbarski";2;
2810000;"Powiat mrągowski";14;
2811000;"Powiat nidzicki";1;
2812000;"Powiat nowomiejski";4;
2813000;"Powiat olecki";3;
2814000;"Powiat olsztyński";7;
2815000;"Powiat ostródzki";17;
2817000;"Powiat szczycieński";5;
2818000;"Powiat gołdapski";1;
2819000;"Powiat węgorzewski";2;
3001000;"Powiat chodzieski";3;
3002000;"Powiat czarnkowsko-trzcianecki";10;
3003000;"Powiat gnieźnieński";9;
3004000;"Powiat gostyński";4;
3005000;"Powiat grodziski";4;
3006000;"Powiat jarociński";6;
3007000;"Powiat kaliski";18;
3008000;"Powiat kępiński";3;
3009000;"Powiat kolski";2;
3010000;"Powiat koniński";7;
3011000;"Powiat kościański";2;
3012000;"Powiat krotoszyński";7;
3013000;"Powiat leszczyński";5;
3015000;"Powiat nowotomyski";3;
3016000;"Powiat obornicki";2;
3017000;"Powiat ostrowski";25;
3018000;"Powiat ostrzeszowski";2;
3019000;"Powiat pilski";10;
3020000;"Powiat pleszewski";11;
3021000;"Powiat poznański";27;
3022000;"Powiat rawicki";3;
3023000;"Powiat słupecki";5;
3024000;"Powiat szamotulski";6;
3025000;"Powiat średzki";3;
3026000;"Powiat śremski";2;
3027000;"Powiat turecki";4;
3028000;"Powiat wągrowiecki";3;
3029000;"Powiat wolsztyński";1;
3030000;"Powiat wrzesiński";4;
3031000;"Powiat złotowski";7;
3201000;"Powiat białogardzki";1;
3202000;"Powiat choszczeński";3;
3203000;"Powiat drawski";5;
3204000;"Powiat goleniowski";1;
3205000;"Powiat gryficki";1;
3206000;"Powiat gryfiński";2;
3207000;"Powiat kamieński";1;
3208000;"Powiat kołobrzeski";4;
3209000;"Powiat koszaliński";5;
3210000;"Powiat myśliborski";2;
3211000;"Powiat policki";1;
3212000;"Powiat pyrzycki";1;
3214000;"Powiat stargardzki";2;
3215000;"Powiat szczecinecki";3;
3216000;"Powiat świdwiński";3;
3217000;"Powiat wałecki";5;
3218000;"Powiat łobeski";4;
