"Kod";"Nazwa";"ogółem;2023;[ha]";
0201000;"Powiat bolesławiecki";935,08;
0202000;"Powiat dzierżoniowski";280,23;
0203000;"Powiat głogowski";718,50;
0204000;"Powiat górowski";1013,41;
0205000;"Powiat jaworski";701,25;
0206000;"Powiat karkonoski";1795,43;
0207000;"Powiat kamiennogórski";572,30;
0208000;"Powiat kłodzki";5113,98;
0209000;"Powiat legnicki";830,02;
0210000;"Powiat lubański";562,11;
0211000;"Powiat lubiński";947,63;
0212000;"Powiat lwówecki";1316,59;
0213000;"Powiat milicki";780,40;
0214000;"Powiat oleśnicki";1414,61;
0215000;"Powiat oławski";246,88;
0216000;"Powiat polkowicki";1133,65;
0217000;"Powiat strzeliński";413,47;
0218000;"Powiat średzki";302,73;
0219000;"Powiat świdnicki";872,77;
0220000;"Powiat trzebnicki";1192,64;
0221000;"Powiat wałbrzyski";1087,60;
0222000;"Powiat wołowski";870,67;
0223000;"Powiat wrocławski";746,25;
0224000;"Powiat ząbkowicki";1943,48;
0225000;"Powiat zgorzelecki";642,43;
0226000;"Powiat złotoryjski";738,32;
0401000;"Powiat aleksandrowski";1068,14;
0402000;"Powiat brodnicki";2798,21;
0403000;"Powiat bydgoski";2842,94;
0404000;"Powiat chełmiński";794,41;
0405000;"Powiat golubsko-dobrzyński";1605,52;
0406000;"Powiat grudziądzki";1443,77;
0407000;"Powiat inowrocławski";1378,79;
0408000;"Powiat lipnowski";7258,66;
0409000;"Powiat mogileński";1037,94;
0410000;"Powiat nakielski";2583,66;
0411000;"Powiat radziejowski";899,12;
0412000;"Powiat rypiński";3317,06;
0413000;"Powiat sępoleński";2247,21;
0414000;"Powiat świecki";3662,46;
0415000;"Powiat toruński";2925,26;
0416000;"Powiat tucholski";7102,07;
0417000;"Powiat wąbrzeski";1180,72;
0418000;"Powiat włocławski";3629,80;
0419000;"Powiat żniński";1934,03;
0601000;"Powiat bialski";36155,70;
0602000;"Powiat biłgorajski";32725,01;
0603000;"Powiat chełmski";7802,10;
0604000;"Powiat hrubieszowski";2627,61;
0605000;"Powiat janowski";14662,98;
0606000;"Powiat krasnostawski";5709,56;
0607000;"Powiat kraśnicki";7648,21;
0608000;"Powiat lubartowski";13551,46;
0609000;"Powiat lubelski";10799,22;
0610000;"Powiat łęczyński";3974,27;
0611000;"Powiat łukowski";15470,15;
0612000;"Powiat opolski";11303,19;
0613000;"Powiat parczewski";7445,25;
0614000;"Powiat puławski";11117,11;
0615000;"Powiat radzyński";9158,84;
0616000;"Powiat rycki";9426,99;
0617000;"Powiat świdnicki";2894,35;
0618000;"Powiat tomaszowski";8679,11;
0619000;"Powiat włodawski";9782,59;
0620000;"Powiat zamojski";21551,46;
0801000;"Powiat gorzowski";853,64;
0802000;"Powiat krośnieński";1087,59;
0803000;"Powiat międzyrzecki";2243,06;
0804000;"Powiat nowosolski";1423,90;
0805000;"Powiat słubicki";570,57;
0806000;"Powiat strzelecko-drezdenecki";886,07;
0807000;"Powiat sulęciński";511,27;
0808000;"Powiat świebodziński";1164,97;
0809000;"Powiat zielonogórski";1831,74;
0810000;"Powiat żagański";1401,07;
0811000;"Powiat żarski";1784,82;
0812000;"Powiat wschowski";750,80;
1001000;"Powiat bełchatowski";13576,58;
1002000;"Powiat kutnowski";728,42;
1003000;"Powiat łaski";6310,97;
1004000;"Powiat łęczycki";1554,66;
1005000;"Powiat łowicki";4927,80;
1006000;"Powiat łódzki wschodni";1960,90;
1007000;"Powiat opoczyński";12825,20;
1008000;"Powiat pabianicki";2684,37;
1009000;"Powiat pajęczański";10160,01;
1010000;"Powiat piotrkowski";11700,72;
1011000;"Powiat poddębicki";5320,71;
1012000;"Powiat radomszczański";12932,05;
1013000;"Powiat rawski";4188,32;
1014000;"Powiat sieradzki";12772,46;
1015000;"Powiat skierniewicki";4854,43;
1016000;"Powiat tomaszowski";5531,49;
1017000;"Powiat wieluński";9970,35;
