"Kod";"Nazwa";"ogółem;ogółem;2023;[osoba]";
0201000;"Powiat bolesławiecki";87642;
0202000;"Powiat dzierżoniowski";94740;
0203000;"Powiat głogowski";85043;
0204000;"Powiat górowski";32459;
0205000;"Powiat jaworski";47213;
0206000;"Powiat karkonoski";60438;
0207000;"Powiat kamiennogórski";40319;
0208000;"Powiat kłodzki";146952;
0209000;"Powiat legnicki";55032;
0210000;"Powiat lubański";51410;
0211000;"Powiat lubiński";102872;
0212000;"Powiat lwówecki";42817;
0213000;"Powiat milicki";35603;
0214000;"Powiat oleśnicki";106516;
0215000;"Powiat oławski";77428;
0216000;"Powiat polkowicki";61189;
0217000;"Powiat strzeliński";41782;
0218000;"Powiat średzki";59078;
0219000;"Powiat świdnicki";150410;
0220000;"Powiat trzebnicki";87635;
0221000;"Powiat wałbrzyski";52656;
0222000;"Powiat wołowski";45458;
0223000;"Powiat wrocławski";187153;
0224000;"Powiat ząbkowicki";60562;
0225000;"Powiat zgorzelecki";85139;
0226000;"Powiat złotoryjski";40616;
0401000;"Powiat aleksandrowski";53458;
0402000;"Powiat brodnicki";77791;
0403000;"Powiat bydgoski";126981;
0404000;"Powiat chełmiński";49123;
0405000;"Powiat golubsko-dobrzyński";43278;
0406000;"Powiat grudziądzki";39137;
0407000;"Powiat inowrocławski";150555;
0408000;"Powiat lipnowski";62578;
0409000;"Powiat mogileński";43577;
0410000;"Powiat nakielski";82874;
0411000;"Powiat radziejowski";37812;
0412000;"Powiat rypiński";41185;
0413000;"Powiat sępoleński";38826;
0414000;"Powiat świecki";94831;
0415000;"Powiat toruński";114303;
0416000;"Powiat tucholski";46917;
0417000;"Powiat wąbrzeski";32420;
0418000;"Powiat włocławski";82151;
0419000;"Powiat żniński";67536;
0601000;"Powiat bialski";104849;
0602000;"Powiat biłgorajski";96158;
0603000;"Powiat chełmski";73705;
0604000;"Powiat hrubieszowski";56783;
0605000;"Powiat janowski";42796;
0606000;"Powiat krasnostawski";59041;
0607000;"Powiat kraśnicki";89215;
0608000;"Powiat lubartowski";83975;
0609000;"Powiat lubelski";164469;
0610000;"Powiat łęczyński";55721;
0611000;"Powiat łukowski";100959;
0612000;"Powiat opolski";55650;
0613000;"Powiat parczewski";32223;
0614000;"Powiat puławski";107020;
0615000;"Powiat radzyński";55021;
0616000;"Powiat rycki";51557;
0617000;"Powiat świdnicki";69274;
0618000;"Powiat tomaszowski";77016;
0619000;"Powiat włodawski";35399;
0620000;"Powiat zamojski";100753;
0801000;"Powiat gorzowski";73897;
0802000;"Powiat krośnieński";52717;
0803000;"Powiat międzyrzecki";54839;
0804000;"Powiat nowosolski";82281;
0805000;"Powiat słubicki";45854;
0806000;"Powiat strzelecko-drezdenecki";46658;
0807000;"Powiat sulęciński";33495;
0808000;"Powiat świebodziński";53961;
0809000;"Powiat zielonogórski";75077;
0810000;"Powiat żagański";73604;
0811000;"Powiat żarski";91210;
0812000;"Powiat wschowski";37251;
1001000;"Powiat bełchatowski";108599;
1002000;"Powiat kutnowski";90671;
1003000;"Powiat łaski";48742;
1004000;"Powiat łęczycki";46666;
1005000;"Powiat łowicki";74009;
1006000;"Powiat łódzki wschodni";74706;
1007000;"Powiat opoczyński";71776;
1008000;"Powiat pabianicki";119066;
1009000;"Powiat pajęczański";48575;
1010000;"Powiat piotrkowski";90121;
1011000;"Powiat poddębicki";39356;
1012000;"Powiat radomszczański";106671;
1013000;"Powiat rawski";46082;
1014000;"Powiat sieradzki";111477;
1015000;"Powiat skierniewicki";37787;
1016000;"Powiat tomaszowski";110634;
1017000;"Powiat wieluński";72586;
1018000;"Powiat wieruszowski";41452;
1019000;"Powiat zduńskowolski";63326;
1020000;"Powiat zgierski";166340;
1021000;"Powiat brzeziński";30159;
1201000;"Powiat bocheński";106946;
1202000;"Powiat brzeski";91670;
1203000;"Powiat chrzanowski";118684;
1204000;"Powiat dąbrowski";57550;
1205000;"Powiat gorlicki";105322;
1206000;"Powiat krakowski";302347;
1207000;"Powiat limanowski";131654;
1208000;"Powiat miechowski";46667;
1209000;"Powiat myślenicki";129843;
1210000;"Powiat nowosądecki";215034;
1211000;"Powiat nowotarski";190107;
1212000;"Powiat olkuski";105900;
1213000;"Powiat oświęcimski";148415;
1214000;"Powiat proszowicki";42005;
1215000;"Powiat suski";82886;
1216000;"Powiat tarnowski";197335;
1217000;"Powiat tatrzański";66478;
1218000;"Powiat wadowicki";157473;
1219000;"Powiat wielicki";143628;
1401000;"Powiat białobrzeski";32520;
1402000;"Powiat ciechanowski";85167;
1403000;"Powiat garwoliński";105510;
1404000;"Powiat gostyniński";42238;
1405000;"Powiat grodziski";105707;
1406000;"Powiat grójecki";97029;
1407000;"Powiat kozienicki";57153;
1408000;"Powiat legionowski";131847;
1409000;"Powiat lipski";31561;
1410000;"Powiat łosicki";28628;
1411000;"Powiat makowski";41736;
1412000;"Powiat miński";159388;
1413000;"Powiat mławski";69074;
1414000;"Powiat nowodworski";79571;
1415000;"Powiat ostrołęcki";87494;
1416000;"Powiat ostrowski";68412;
1417000;"Powiat otwocki";126779;
1418000;"Powiat piaseczyński";215088;
1419000;"Powiat płocki";109531;
1420000;"Powiat płoński";84006;
1421000;"Powiat pruszkowski";179667;
1422000;"Powiat przasnyski";49037;
1423000;"Powiat przysuski";38621;
1424000;"Powiat pułtuski";50311;
1425000;"Powiat radomski";151331;
1426000;"Powiat siedlecki";80441;
1427000;"Powiat sierpecki";48259;
1428000;"Powiat sochaczewski";83174;
1429000;"Powiat sokołowski";50064;
1430000;"Powiat szydłowiecki";37500;
1432000;"Powiat warszawski zachodni";135216;
1433000;"Powiat węgrowski";61908;
1434000;"Powiat wołomiński";275871;
1435000;"Powiat wyszkowski";73441;
1436000;"Powiat zwoleński";34288;
1437000;"Powiat żuromiński";35486;
1438000;"Powiat żyrardowski";75153;
1601000;"Powiat brzeski";86149;
1602000;"Powiat głubczycki";42608;
1603000;"Powiat kędzierzyńsko-kozielski";86161;
1604000;"Powiat kluczborski";61236;
1605000;"Powiat krapkowicki";59647;
1606000;"Powiat namysłowski";42033;
1607000;"Powiat nyski";127992;
1608000;"Powiat oleski";61281;
1609000;"Powiat opolski";120841;
1610000;"Powiat prudnicki";51443;
1611000;"Powiat strzelecki";71257;
1801000;"Powiat bieszczadzki";20601;
1802000;"Powiat brzozowski";63203;
1803000;"Powiat dębicki";132615;
1804000;"Powiat jarosławski";115865;
1805000;"Powiat jasielski";108819;
1806000;"Powiat kolbuszowski";61160;
1807000;"Powiat krośnieński";108659;
1808000;"Powiat leżajski";66698;
1809000;"Powiat lubaczowski";52565;
1810000;"Powiat łańcucki";80844;
1811000;"Powiat mielecki";132983;
1812000;"Powiat niżański";63733;
1813000;"Powiat przemyski";71131;
1814000;"Powiat przeworski";75739;
1815000;"Powiat ropczycko-sędziszowski";74027;
1816000;"Powiat rzeszowski";175777;
1817000;"Powiat sanocki";89743;
1818000;"Powiat stalowowolski";100891;
1819000;"Powiat strzyżowski";59201;
1820000;"Powiat tarnobrzeski";50935;
1821000;"Powiat leski";25397;
2001000;"Powiat augustowski";54449;
2002000;"Powiat białostocki";157896;
2003000;"Powiat bielski";50596;
2004000;"Powiat grajewski";44222;
2005000;"Powiat hajnowski";38817;
2006000;"Powiat kolneński";35702;
2007000;"Powiat łomżyński";49608;
2008000;"Powiat moniecki";37358;
2009000;"Powiat sejneński";18645;
2010000;"Powiat siemiatycki";40636;
2011000;"Powiat sokólski";61246;
2012000;"Powiat suwalski";34635;
2013000;"Powiat wysokomazowiecki";53406;
2014000;"Powiat zambrowski";41370;
2201000;"Powiat bytowski";76502;
2202000;"Powiat chojnicki";96024;
2203000;"Powiat człuchowski";53135;
2204000;"Powiat gdański";131728;
2205000;"Powiat kartuski";153813;
2206000;"Powiat kościerski";72202;
2207000;"Powiat kwidzyński";80146;
2208000;"Powiat lęborski";63677;
2209000;"Powiat malborski";60647;
2210000;"Powiat nowodworski";33626;
2211000;"Powiat pucki";91664;
2212000;"Powiat słupski";96293;
2213000;"Powiat starogardzki";125125;
2214000;"Powiat tczewski";111237;
2215000;"Powiat wejherowski";229446;
2216000;"Powiat sztumski";38341;
2401000;"Powiat będziński";144685;
2402000;"Powiat bielski";165824;
2403000;"Powiat cieszyński";174794;
2404000;"Powiat częstochowski";131569;
2405000;"Powiat gliwicki";113180;
2406000;"Powiat kłobucki";81964;
2407000;"Powiat lubliniecki";74887;
2408000;"Powiat mikołowski";100002;
2409000;"Powiat myszkowski";67573;
2410000;"Powiat pszczyński";110777;
2411000;"Powiat raciborski";99332;
2412000;"Powiat rybnicki";76666;
2413000;"Powiat tarnogórski";139160;
2414000;"Powiat bieruńsko-lędziński";59443;
2415000;"Powiat wodzisławski";150269;
2416000;"Powiat zawierciański";111628;
2417000;"Powiat żywiecki";148829;
2601000;"Powiat buski";67817;
2602000;"Powiat jędrzejowski";81057;
2603000;"Powiat kazimierski";31693;
2604000;"Powiat kielecki";211764;
2605000;"Powiat konecki";73741;
2606000;"Powiat opatowski";48394;
2607000;"Powiat ostrowiecki";100058;
2608000;"Powiat pińczowski";36739;
2609000;"Powiat sandomierski";71824;
2610000;"Powiat skarżyski";68103;
2611000;"Powiat starachowicki";83634;
2612000;"Powiat staszowski";68448;
2613000;"Powiat włoszczowski";42932;
2801000;"Powiat bartoszycki";52674;
2802000;"Powiat braniewski";37281;
2803000;"Powiat działdowski";61416;
2804000;"Powiat elbląski";54142;
2805000;"Powiat ełcki";88343;
2806000;"Powiat giżycki";53736;
2807000;"Powiat iławski";89870;
2808000;"Powiat kętrzyński";57045;
2809000;"Powiat lidzbarski";38126;
2810000;"Powiat mrągowski";47472;
2811000;"Powiat nidzicki";30460;
2812000;"Powiat nowomiejski";41964;
2813000;"Powiat olecki";31996;
2814000;"Powiat olsztyński";129914;
2815000;"Powiat ostródzki";99069;
2816000;"Powiat piski";51969;
2817000;"Powiat szczycieński";66535;
2818000;"Powiat gołdapski";24860;
2819000;"Powiat węgorzewski";20804;
3001000;"Powiat chodzieski";45206;
3002000;"Powiat czarnkowsko-trzcianecki";83442;
3003000;"Powiat gnieźnieński";141303;
3004000;"Powiat gostyński";73516;
3005000;"Powiat grodziski";51560;
3006000;"Powiat jarociński";69749;
3007000;"Powiat kaliski";82215;
3008000;"Powiat kępiński";55924;
3009000;"Powiat kolski";81562;
3010000;"Powiat koniński";128837;
3011000;"Powiat kościański";77239;
3012000;"Powiat krotoszyński";74921;
3013000;"Powiat leszczyński";60017;
3014000;"Powiat międzychodzki";35593;
3015000;"Powiat nowotomyski";75178;
3016000;"Powiat obornicki";58812;
3017000;"Powiat ostrowski";158486;
