"Kod";"Nazwa";"apteki;2023;[ob.]";
0201000;"Powiat bolesławiecki";25;
0202000;"Powiat dzierżoniowski";33;
0203000;"Powiat głogowski";26;
0204000;"Powiat górowski";7;
0205000;"Powiat jaworski";14;
0206000;"Powiat karkonoski";17;
0207000;"Powiat kamiennogórski";8;
0208000;"Powiat kłodzki";50;
0209000;"Powiat legnicki";10;
0210000;"Powiat lubański";17;
0211000;"Powiat lubiński";29;
0212000;"Powiat lwówecki";13;
0213000;"Powiat milicki";10;
0214000;"Powiat oleśnicki";34;
0215000;"Powiat oławski";22;
0216000;"Powiat polkowicki";15;
0217000;"Powiat strzeliński";11;
0218000;"Powiat średzki";10;
0219000;"Powiat świdnicki";46;
0220000;"Powiat trzebnicki";23;
0221000;"Powiat wałbrzyski";15;
0222000;"Powiat wołowski";13;
0223000;"Powiat wrocławski";36;
0224000;"Powiat ząbkowicki";18;
0225000;"Powiat zgorzelecki";25;
0226000;"Powiat złotoryjski";10;
0401000;"Powiat aleksandrowski";17;
0402000;"Powiat brodnicki";19;
0403000;"Powiat bydgoski";25;
0404000;"Powiat chełmiński";8;
0405000;"Powiat golubsko-dobrzyński";10;
0406000;"Powiat grudziądzki";6;
0407000;"Powiat inowrocławski";42;
0408000;"Powiat lipnowski";20;
0409000;"Powiat mogileński";11;
0410000;"Powiat nakielski";21;
0411000;"Powiat radziejowski";14;
0412000;"Powiat rypiński";8;
0413000;"Powiat sępoleński";12;
0414000;"Powiat świecki";22;
0415000;"Powiat toruński";18;
0416000;"Powiat tucholski";12;
0417000;"Powiat wąbrzeski";6;
0418000;"Powiat włocławski";24;
0419000;"Powiat żniński";21;
0601000;"Powiat bialski";30;
0602000;"Powiat biłgorajski";38;
0603000;"Powiat chełmski";16;
0604000;"Powiat hrubieszowski";19;
0605000;"Powiat janowski";16;
0606000;"Powiat krasnostawski";17;
0607000;"Powiat kraśnicki";39;
0608000;"Powiat lubartowski";33;
0609000;"Powiat lubelski";42;
0610000;"Powiat łęczyński";18;
0611000;"Powiat łukowski";28;
0612000;"Powiat opolski";20;
0613000;"Powiat parczewski";10;
0614000;"Powiat puławski";37;
0615000;"Powiat radzyński";18;
0616000;"Powiat rycki";22;
0617000;"Powiat świdnicki";25;
0618000;"Powiat tomaszowski";34;
0619000;"Powiat włodawski";14;
0620000;"Powiat zamojski";25;
0801000;"Powiat gorzowski";13;
0802000;"Powiat krośnieński";13;
0803000;"Powiat międzyrzecki";19;
0804000;"Powiat nowosolski";18;
0805000;"Powiat słubicki";17;
0806000;"Powiat strzelecko-drezdenecki";11;
0807000;"Powiat sulęciński";13;
0808000;"Powiat świebodziński";11;
0809000;"Powiat zielonogórski";15;
0810000;"Powiat żagański";21;
0811000;"Powiat żarski";32;
0812000;"Powiat wschowski";10;
1001000;"Powiat bełchatowski";33;
1002000;"Powiat kutnowski";30;
1003000;"Powiat łaski";12;
1004000;"Powiat łęczycki";15;
1005000;"Powiat łowicki";26;
1006000;"Powiat łódzki wschodni";22;
1007000;"Powiat opoczyński";21;
1008000;"Powiat pabianicki";37;
1009000;"Powiat pajęczański";15;
1010000;"Powiat piotrkowski";19;
1011000;"Powiat poddębicki";15;
1012000;"Powiat radomszczański";27;
1013000;"Powiat rawski";11;
1014000;"Powiat sieradzki";39;
1015000;"Powiat skierniewicki";4;
1016000;"Powiat tomaszowski";28;
1017000;"Powiat wieluński";29;
1018000;"Powiat wieruszowski";13;
1019000;"Powiat zduńskowolski";12;
1020000;"Powiat zgierski";50;
1021000;"Powiat brzeziński";12;
1201000;"Powiat bocheński";30;
1202000;"Powiat brzeski";27;
1203000;"Powiat chrzanowski";38;
1204000;"Powiat dąbrowski";16;
1205000;"Powiat gorlicki";33;
