"Kod";"Nazwa";"ogółem;2023;[-]";
0201000;"Powiat bolesławiecki";10482;
0202000;"Powiat dzierżoniowski";12091;
0203000;"Powiat głogowski";8856;
0204000;"Powiat górowski";3553;
0205000;"Powiat jaworski";5686;
0206000;"Powiat karkonoski";12326;
0207000;"Powiat kamiennogórski";4917;
0208000;"Powiat kłodzki";19793;
0209000;"Powiat legnicki";6255;
0210000;"Powiat lubański";6919;
0211000;"Powiat lubiński";11308;
0212000;"Powiat lwówecki";5290;
0213000;"Powiat milicki";4576;
0214000;"Powiat oleśnicki";12845;
0215000;"Powiat oławski";9843;
0216000;"Powiat polkowicki";5372;
0217000;"Powiat strzeliński";4521;
0218000;"Powiat średzki";7211;
0219000;"Powiat świdnicki";20942;
0220000;"Powiat trzebnicki";11990;
0221000;"Powiat wałbrzyski";7230;
0222000;"Powiat wołowski";4757;
0223000;"Powiat wrocławski";30551;
0224000;"Powiat ząbkowicki";7569;
0225000;"Powiat zgorzelecki";9548;
0226000;"Powiat złotoryjski";5627;
0401000;"Powiat aleksandrowski";5602;
0402000;"Powiat brodnicki";7622;
0403000;"Powiat bydgoski";17271;
0404000;"Powiat chełmiński";4400;
0405000;"Powiat golubsko-dobrzyński";4257;
0406000;"Powiat grudziądzki";3664;
0407000;"Powiat inowrocławski";14685;
0408000;"Powiat lipnowski";5660;
0409000;"Powiat mogileński";3977;
0410000;"Powiat nakielski";7783;
0411000;"Powiat radziejowski";3832;
0412000;"Powiat rypiński";3889;
0413000;"Powiat sępoleński";3612;
0414000;"Powiat świecki";8844;
0415000;"Powiat toruński";13162;
0416000;"Powiat tucholski";4289;
0417000;"Powiat wąbrzeski";2911;
0418000;"Powiat włocławski";7342;
0419000;"Powiat żniński";6402;
0601000;"Powiat bialski";8727;
0602000;"Powiat biłgorajski";9538;
0603000;"Powiat chełmski";5100;
0604000;"Powiat hrubieszowski";4794;
0605000;"Powiat janowski";4084;
0606000;"Powiat krasnostawski";4391;
0607000;"Powiat kraśnicki";7437;
0608000;"Powiat lubartowski";7292;
0609000;"Powiat lubelski";17224;
0610000;"Powiat łęczyński";4137;
0611000;"Powiat łukowski";10508;
0612000;"Powiat opolski";4753;
0613000;"Powiat parczewski";2767;
0614000;"Powiat puławski";11075;
0615000;"Powiat radzyński";4654;
0616000;"Powiat rycki";4386;
0617000;"Powiat świdnicki";6711;
0618000;"Powiat tomaszowski";7689;
0619000;"Powiat włodawski";3014;
0620000;"Powiat zamojski";8564;
0801000;"Powiat gorzowski";9925;
0802000;"Powiat krośnieński";6570;
0803000;"Powiat międzyrzecki";6544;
0804000;"Powiat nowosolski";9082;
0805000;"Powiat słubicki";6650;
0806000;"Powiat strzelecko-drezdenecki";5728;
0807000;"Powiat sulęciński";3296;
0808000;"Powiat świebodziński";6566;
0809000;"Powiat zielonogórski";8985;
0810000;"Powiat żagański";8408;
0811000;"Powiat żarski";10786;
0812000;"Powiat wschowski";4228;
1001000;"Powiat bełchatowski";10560;
1002000;"Powiat kutnowski";8305;
1003000;"Powiat łaski";5243;
1004000;"Powiat łęczycki";3663;
1005000;"Powiat łowicki";6784;
1006000;"Powiat łódzki wschodni";10523;
1007000;"Powiat opoczyński";5737;
1008000;"Powiat pabianicki";15742;
1009000;"Powiat pajęczański";4595;
1010000;"Powiat piotrkowski";7687;
1011000;"Powiat poddębicki";3779;
1012000;"Powiat radomszczański";10848;
1013000;"Powiat rawski";4674;
1014000;"Powiat sieradzki";10740;
1015000;"Powiat skierniewicki";3358;
1016000;"Powiat tomaszowski";10987;
1017000;"Powiat wieluński";7832;
1018000;"Powiat wieruszowski";4392;
1019000;"Powiat zduńskowolski";7440;
1020000;"Powiat zgierski";19765;
1021000;"Powiat brzeziński";3293;
1201000;"Powiat bocheński";11472;
1202000;"Powiat brzeski";9353;
1203000;"Powiat chrzanowski";13718;
1204000;"Powiat dąbrowski";4380;
1205000;"Powiat gorlicki";9293;
1206000;"Powiat krakowski";41427;
1207000;"Powiat limanowski";13211;
1208000;"Powiat miechowski";5179;
1209000;"Powiat myślenicki";16197;
1210000;"Powiat nowosądecki";21168;
1211000;"Powiat nowotarski";21066;
1212000;"Powiat olkuski";13366;
1213000;"Powiat oświęcimski";16391;
1214000;"Powiat proszowicki";4561;
1215000;"Powiat suski";9660;
1216000;"Powiat tarnowski";17134;
1217000;"Powiat tatrzański";12627;
1218000;"Powiat wadowicki";19403;
1219000;"Powiat wielicki";20267;
1401000;"Powiat białobrzeski";3260;
1402000;"Powiat ciechanowski";8087;
1403000;"Powiat garwoliński";9329;
1404000;"Powiat gostyniński";3928;
1405000;"Powiat grodziski";16892;
1406000;"Powiat grójecki";10723;
1407000;"Powiat kozienicki";4748;
1408000;"Powiat legionowski";21434;
1409000;"Powiat lipski";2972;
1410000;"Powiat łosicki";2637;
1411000;"Powiat makowski";4139;
1412000;"Powiat miński";17920;
1413000;"Powiat mławski";6523;
1414000;"Powiat nowodworski";10038;
1415000;"Powiat ostrołęcki";7229;
1416000;"Powiat ostrowski";7200;
1417000;"Powiat otwocki";19038;
1418000;"Powiat piaseczyński";44002;
1419000;"Powiat płocki";9782;
1420000;"Powiat płoński";7623;
1421000;"Powiat pruszkowski";35163;
1422000;"Powiat przasnyski";4228;
1423000;"Powiat przysuski";3323;
1424000;"Powiat pułtuski";4932;
1425000;"Powiat radomski";14155;
1426000;"Powiat siedlecki";7003;
1427000;"Powiat sierpecki";4193;
1428000;"Powiat sochaczewski";10081;
1429000;"Powiat sokołowski";4552;
1430000;"Powiat szydłowiecki";3934;
1432000;"Powiat warszawski zachodni";25281;
1433000;"Powiat węgrowski";5998;
1434000;"Powiat wołomiński";39966;
1435000;"Powiat wyszkowski";7825;
1436000;"Powiat zwoleński";2752;
1437000;"Powiat żuromiński";3026;
1438000;"Powiat żyrardowski";10027;
1601000;"Powiat brzeski";11134;
1602000;"Powiat głubczycki";4449;
1603000;"Powiat kędzierzyńsko-kozielski";9595;
1604000;"Powiat kluczborski";6950;
1605000;"Powiat krapkowicki";5561;
1606000;"Powiat namysłowski";5042;
1607000;"Powiat nyski";15295;
1608000;"Powiat oleski";6324;
1609000;"Powiat opolski";13417;
1610000;"Powiat prudnicki";5082;
1611000;"Powiat strzelecki";5968;
1801000;"Powiat bieszczadzki";2717;
1802000;"Powiat brzozowski";4656;
1803000;"Powiat dębicki";11901;
1804000;"Powiat jarosławski";10381;
1805000;"Powiat jasielski";9684;
1806000;"Powiat kolbuszowski";4914;
1807000;"Powiat krośnieński";9505;
1808000;"Powiat leżajski";5391;
1809000;"Powiat lubaczowski";4159;
1810000;"Powiat łańcucki";7793;
1811000;"Powiat mielecki";13226;
1812000;"Powiat niżański";5283;
1813000;"Powiat przemyski";5575;
1814000;"Powiat przeworski";5916;
1815000;"Powiat ropczycko-sędziszowski";6469;
1816000;"Powiat rzeszowski";16420;
1817000;"Powiat sanocki";8177;
1818000;"Powiat stalowowolski";10027;
1819000;"Powiat strzyżowski";5015;
1820000;"Powiat tarnobrzeski";4082;
1821000;"Powiat leski";3785;
2001000;"Powiat augustowski";4881;
2002000;"Powiat białostocki";17855;
2003000;"Powiat bielski";4480;
2004000;"Powiat grajewski";3510;
2005000;"Powiat hajnowski";3211;
2006000;"Powiat kolneński";2907;
2007000;"Powiat łomżyński";4082;
2008000;"Powiat moniecki";2845;
2009000;"Powiat sejneński";1710;
2010000;"Powiat siemiatycki";3238;
2011000;"Powiat sokólski";4529;
2012000;"Powiat suwalski";2534;
2013000;"Powiat wysokomazowiecki";4712;
2014000;"Powiat zambrowski";3791;
2201000;"Powiat bytowski";8200;
2202000;"Powiat chojnicki";10570;
2203000;"Powiat człuchowski";5729;
2204000;"Powiat gdański";19586;
2205000;"Powiat kartuski";20264;
2206000;"Powiat kościerski";7627;
2207000;"Powiat kwidzyński";9139;
2208000;"Powiat lęborski";9423;
2209000;"Powiat malborski";7158;
2210000;"Powiat nowodworski";5118;
2211000;"Powiat pucki";15754;
2212000;"Powiat słupski";11542;
2213000;"Powiat starogardzki";13893;
2214000;"Powiat tczewski";12407;
2215000;"Powiat wejherowski";31370;
2216000;"Powiat sztumski";3867;
2401000;"Powiat będziński";18255;
2402000;"Powiat bielski";20901;
2403000;"Powiat cieszyński";22438;
2404000;"Powiat częstochowski";13319;
2405000;"Powiat gliwicki";11354;
2406000;"Powiat kłobucki";9122;
2407000;"Powiat lubliniecki";7802;
2408000;"Powiat mikołowski";12137;
2409000;"Powiat myszkowski";8240;
2410000;"Powiat pszczyński";13360;
2411000;"Powiat raciborski";9469;
2412000;"Powiat rybnicki";6566;
2413000;"Powiat tarnogórski";18521;
2414000;"Powiat bieruńsko-lędziński";5793;
2415000;"Powiat wodzisławski";12677;
2416000;"Powiat zawierciański";12027;
2417000;"Powiat żywiecki";17413;
2601000;"Powiat buski";6766;
2602000;"Powiat jędrzejowski";7694;
2603000;"Powiat kazimierski";2282;
2604000;"Powiat kielecki";21838;
2605000;"Powiat konecki";7752;
2606000;"Powiat opatowski";3930;
2607000;"Powiat ostrowiecki";10816;
2608000;"Powiat pińczowski";3107;
