"Kod";"Nazwa";"ogółem;ogółem;2023;[osoba]";
0201000;"Powiat bolesławiecki";886;
0202000;"Powiat dzierżoniowski";1593;
0203000;"Powiat głogowski";1761;
0204000;"Powiat górowski";1302;
0205000;"Powiat jaworski";1550;
0206000;"Powiat karkonoski";1613;
0207000;"Powiat kamiennogórski";726;
0208000;"Powiat kłodzki";5298;
0209000;"Powiat legnicki";1530;
0210000;"Powiat lubański";1001;
0211000;"Powiat lubiński";1243;
0212000;"Powiat lwówecki";1034;
0213000;"Powiat milicki";778;
0214000;"Powiat oleśnicki";2173;
0215000;"Powiat oławski";1443;
0216000;"Powiat polkowicki";1490;
0217000;"Powiat strzeliński";1370;
0218000;"Powiat średzki";1025;
0219000;"Powiat świdnicki";3338;
0220000;"Powiat trzebnicki";1442;
0221000;"Powiat wałbrzyski";1405;
0222000;"Powiat wołowski";1771;
0223000;"Powiat wrocławski";1237;
0224000;"Powiat ząbkowicki";1948;
0225000;"Powiat zgorzelecki";1276;
0226000;"Powiat złotoryjski";1653;
0401000;"Powiat aleksandrowski";1938;
0402000;"Powiat brodnicki";1912;
0403000;"Powiat bydgoski";1330;
0404000;"Powiat chełmiński";1869;
0405000;"Powiat golubsko-dobrzyński";1742;
0406000;"Powiat grudziądzki";1497;
0407000;"Powiat inowrocławski";5829;
0408000;"Powiat lipnowski";2557;
0409000;"Powiat mogileński";1534;
0410000;"Powiat nakielski";2620;
0411000;"Powiat radziejowski";2180;
0412000;"Powiat rypiński";1302;
0413000;"Powiat sępoleński";1639;
0414000;"Powiat świecki";2102;
0415000;"Powiat toruński";2732;
0416000;"Powiat tucholski";1772;
0417000;"Powiat wąbrzeski";1409;
0418000;"Powiat włocławski";3799;
0419000;"Powiat żniński";2046;
0601000;"Powiat bialski";3349;
0602000;"Powiat biłgorajski";2087;
0603000;"Powiat chełmski";2507;
0604000;"Powiat hrubieszowski";2865;
0605000;"Powiat janowski";1848;
0606000;"Powiat krasnostawski";2792;
0607000;"Powiat kraśnicki";3359;
0608000;"Powiat lubartowski";3403;
0609000;"Powiat lubelski";2613;
0610000;"Powiat łęczyński";1163;
0611000;"Powiat łukowski";1565;
0612000;"Powiat opolski";1856;
0613000;"Powiat parczewski";940;
0614000;"Powiat puławski";2256;
0615000;"Powiat radzyński";1521;
0616000;"Powiat rycki";1156;
0617000;"Powiat świdnicki";1627;
0618000;"Powiat tomaszowski";2621;
0619000;"Powiat włodawski";1758;
0620000;"Powiat zamojski";3208;
0801000;"Powiat gorzowski";805;
0802000;"Powiat krośnieński";976;
0803000;"Powiat międzyrzecki";1248;
0804000;"Powiat nowosolski";1454;
0805000;"Powiat słubicki";362;
0806000;"Powiat strzelecko-drezdenecki";1377;
0807000;"Powiat sulęciński";458;
0808000;"Powiat świebodziński";653;
0809000;"Powiat zielonogórski";1557;
0810000;"Powiat żagański";966;
0811000;"Powiat żarski";1445;
0812000;"Powiat wschowski";952;
1001000;"Powiat bełchatowski";2189;
1002000;"Powiat kutnowski";2885;
1003000;"Powiat łaski";1186;
1004000;"Powiat łęczycki";999;
1005000;"Powiat łowicki";1217;
1006000;"Powiat łódzki wschodni";1732;
1007000;"Powiat opoczyński";1993;
1008000;"Powiat pabianicki";2526;
1009000;"Powiat pajęczański";1336;
1010000;"Powiat piotrkowski";1692;
1011000;"Powiat poddębicki";1145;
1012000;"Powiat radomszczański";2028;
1013000;"Powiat rawski";612;
1014000;"Powiat sieradzki";2409;
1015000;"Powiat skierniewicki";452;
1016000;"Powiat tomaszowski";3244;
1017000;"Powiat wieluński";1733;
1018000;"Powiat wieruszowski";813;
1019000;"Powiat zduńskowolski";1597;
1020000;"Powiat zgierski";3286;
1021000;"Powiat brzeziński";735;
1201000;"Powiat bocheński";867;
1202000;"Powiat brzeski";1544;
1203000;"Powiat chrzanowski";2339;
1204000;"Powiat dąbrowski";2281;
1205000;"Powiat gorlicki";2156;
1206000;"Powiat krakowski";4649;
1207000;"Powiat limanowski";3510;
1208000;"Powiat miechowski";826;
1209000;"Powiat myślenicki";1415;
1210000;"Powiat nowosądecki";6024;
1211000;"Powiat nowotarski";3326;
1212000;"Powiat olkuski";2667;
1213000;"Powiat oświęcimski";2343;
1214000;"Powiat proszowicki";901;
1215000;"Powiat suski";1446;
1216000;"Powiat tarnowski";4014;
1217000;"Powiat tatrzański";2201;
1218000;"Powiat wadowicki";3023;
1219000;"Powiat wielicki";1752;
1401000;"Powiat białobrzeski";899;
1402000;"Powiat ciechanowski";2645;
1403000;"Powiat garwoliński";3383;
1404000;"Powiat gostyniński";1789;
1405000;"Powiat grodziski";1045;
1406000;"Powiat grójecki";1091;
1407000;"Powiat kozienicki";1912;
1408000;"Powiat legionowski";2116;
1409000;"Powiat lipski";1427;
1410000;"Powiat łosicki";568;
1411000;"Powiat makowski";2623;
1412000;"Powiat miński";2177;
1413000;"Powiat mławski";1617;
1414000;"Powiat nowodworski";1877;
1415000;"Powiat ostrołęcki";2844;
1416000;"Powiat ostrowski";2277;
1417000;"Powiat otwocki";1606;
1418000;"Powiat piaseczyński";2791;
1419000;"Powiat płocki";3048;
1420000;"Powiat płoński";3073;
1421000;"Powiat pruszkowski";1679;
1422000;"Powiat przasnyski";1678;
1423000;"Powiat przysuski";2571;
1424000;"Powiat pułtuski";2386;
1425000;"Powiat radomski";7458;
1426000;"Powiat siedlecki";1280;
1427000;"Powiat sierpecki";2007;
1428000;"Powiat sochaczewski";749;
1429000;"Powiat sokołowski";1032;
1430000;"Powiat szydłowiecki";3000;
1432000;"Powiat warszawski zachodni";1037;
1433000;"Powiat węgrowski";1127;
1434000;"Powiat wołomiński";4885;
1435000;"Powiat wyszkowski";955;
1436000;"Powiat zwoleński";1439;
1437000;"Powiat żuromiński";1855;
1438000;"Powiat żyrardowski";2297;
1601000;"Powiat brzeski";2291;
1602000;"Powiat głubczycki";1267;
1603000;"Powiat kędzierzyńsko-kozielski";2272;
1604000;"Powiat kluczborski";1344;
1605000;"Powiat krapkowicki";1273;
1606000;"Powiat namysłowski";1262;
1607000;"Powiat nyski";2841;
1608000;"Powiat oleski";1005;
1609000;"Powiat opolski";1944;
1610000;"Powiat prudnicki";1495;
1611000;"Powiat strzelecki";1090;
1801000;"Powiat bieszczadzki";1085;
1802000;"Powiat brzozowski";3848;
1803000;"Powiat dębicki";2433;
1804000;"Powiat jarosławski";4299;
1805000;"Powiat jasielski";5107;
1806000;"Powiat kolbuszowski";1494;
1807000;"Powiat krośnieński";2221;
1808000;"Powiat leżajski";3105;
1809000;"Powiat lubaczowski";1867;
1810000;"Powiat łańcucki";2547;
1811000;"Powiat mielecki";3017;
1812000;"Powiat niżański";3043;
1813000;"Powiat przemyski";2963;
1814000;"Powiat przeworski";3397;
1815000;"Powiat ropczycko-sędziszowski";2551;
1816000;"Powiat rzeszowski";4670;
1817000;"Powiat sanocki";2737;
1818000;"Powiat stalowowolski";1943;
1819000;"Powiat strzyżowski";3125;
1820000;"Powiat tarnobrzeski";1251;
1821000;"Powiat leski";1716;
2001000;"Powiat augustowski";2159;
2002000;"Powiat białostocki";3752;
2003000;"Powiat bielski";875;
2004000;"Powiat grajewski";1748;
