"Kod";"Nazwa";"ogółem stan na 1 stycznia;2023;[ha]";
0201000;"Powiat bolesławiecki";388;
0202000;"Powiat dzierżoniowski";321;
0203000;"Powiat głogowski";239;
0204000;"Powiat górowski";303;
0205000;"Powiat jaworski";351;
0206000;"Powiat karkonoski";298;
0207000;"Powiat kamiennogórski";146;
0208000;"Powiat kłodzki";868;
0209000;"Powiat legnicki";442;
0210000;"Powiat lubański";208;
0211000;"Powiat lubiński";324;
0212000;"Powiat lwówecki";393;
0213000;"Powiat milicki";489;
0214000;"Powiat oleśnicki";819;
0215000;"Powiat oławski";479;
0216000;"Powiat polkowicki";339;
0218000;"Powiat średzki";502;
0219000;"Powiat świdnicki";665;
0220000;"Powiat trzebnicki";709;
0221000;"Powiat wałbrzyski";223;
0223000;"Powiat wrocławski";1213;
0224000;"Powiat ząbkowicki";585;
0225000;"Powiat zgorzelecki";300;
0226000;"Powiat złotoryjski";293;
0401000;"Powiat aleksandrowski";305;
0402000;"Powiat brodnicki";132;
0403000;"Powiat bydgoski";307;
0404000;"Powiat chełmiński";207;
0405000;"Powiat golubsko-dobrzyński";306;
0406000;"Powiat grudziądzki";460;
0407000;"Powiat inowrocławski";453;
0408000;"Powiat lipnowski";376;
0409000;"Powiat mogileński";282;
0411000;"Powiat radziejowski";272;
0412000;"Powiat rypiński";324;
0413000;"Powiat sępoleński";399;
0414000;"Powiat świecki";699;
0415000;"Powiat toruński";353;
0416000;"Powiat tucholski";539;
0417000;"Powiat wąbrzeski";328;
0418000;"Powiat włocławski";453;
0419000;"Powiat żniński";298;
0601000;"Powiat bialski";1463;
0602000;"Powiat biłgorajski";719;
0603000;"Powiat chełmski";1120;
0604000;"Powiat hrubieszowski";889;
0605000;"Powiat janowski";201;
0606000;"Powiat krasnostawski";693;
0607000;"Powiat kraśnicki";267;
0608000;"Powiat lubartowski";756;
0609000;"Powiat lubelski";371;
0610000;"Powiat łęczyński";427;
0611000;"Powiat łukowski";130;
0612000;"Powiat opolski";207;
0613000;"Powiat parczewski";563;
0614000;"Powiat puławski";397;
0615000;"Powiat radzyński";459;
0616000;"Powiat rycki";941;
0617000;"Powiat świdnicki";370;
0618000;"Powiat tomaszowski";1330;
0619000;"Powiat włodawski";610;
0620000;"Powiat zamojski";750;
0801000;"Powiat gorzowski";628;
0802000;"Powiat krośnieński";428;
0803000;"Powiat międzyrzecki";641;
0804000;"Powiat nowosolski";386;
0805000;"Powiat słubicki";352;
0806000;"Powiat strzelecko-drezdenecki";322;
0807000;"Powiat sulęciński";259;
0808000;"Powiat świebodziński";584;
0809000;"Powiat zielonogórski";435;
0810000;"Powiat żagański";499;
0811000;"Powiat żarski";486;
0812000;"Powiat wschowski";243;
1001000;"Powiat bełchatowski";435;
1002000;"Powiat kutnowski";614;
1003000;"Powiat łaski";374;
1004000;"Powiat łęczycki";484;
1005000;"Powiat łowicki";755;
1006000;"Powiat łódzki wschodni";151;
1007000;"Powiat opoczyński";460;
1008000;"Powiat pabianicki";234;
1009000;"Powiat pajęczański";356;
1010000;"Powiat piotrkowski";742;
1011000;"Powiat poddębicki";361;
1012000;"Powiat radomszczański";526;
1013000;"Powiat rawski";459;
1014000;"Powiat sieradzki";746;
1015000;"Powiat skierniewicki";342;
1016000;"Powiat tomaszowski";509;
1017000;"Powiat wieluński";519;
1018000;"Powiat wieruszowski";317;
1019000;"Powiat zduńskowolski";3;
1020000;"Powiat zgierski";552;
1021000;"Powiat brzeziński";96;
1201000;"Powiat bocheński";293;
1202000;"Powiat brzeski";195;
1203000;"Powiat chrzanowski";71;
1204000;"Powiat dąbrowski";378;
1205000;"Powiat gorlicki";449;
1206000;"Powiat krakowski";650;
1207000;"Powiat limanowski";397;
1208000;"Powiat miechowski";341;
1209000;"Powiat myślenicki";35;
1210000;"Powiat nowosądecki";511;
1211000;"Powiat nowotarski";215;
1212000;"Powiat olkuski";341;
1213000;"Powiat oświęcimski";142;
1215000;"Powiat suski";177;
1216000;"Powiat tarnowski";571;
1217000;"Powiat tatrzański";31;
1218000;"Powiat wadowicki";502;
1219000;"Powiat wielicki";114;
1401000;"Powiat białobrzeski";164;
1402000;"Powiat ciechanowski";682;
1403000;"Powiat garwoliński";942;
1404000;"Powiat gostyniński";334;
1405000;"Powiat grodziski";191;
1406000;"Powiat grójecki";364;
1407000;"Powiat kozienicki";284;
1408000;"Powiat legionowski";90;
1409000;"Powiat lipski";251;
1410000;"Powiat łosicki";459;
1411000;"Powiat makowski";524;
1412000;"Powiat miński";639;
1413000;"Powiat mławski";662;
1414000;"Powiat nowodworski";277;
1415000;"Powiat ostrołęcki";1197;
1416000;"Powiat ostrowski";603;
1417000;"Powiat otwocki";183;
1418000;"Powiat piaseczyński";428;
1419000;"Powiat płocki";460;
1420000;"Powiat płoński";427;
1421000;"Powiat pruszkowski";299;
1422000;"Powiat przasnyski";824;
1423000;"Powiat przysuski";279;
1424000;"Powiat pułtuski";451;
1425000;"Powiat radomski";799;
1426000;"Powiat siedlecki";807;
1427000;"Powiat sierpecki";572;
1428000;"Powiat sochaczewski";396;
1429000;"Powiat sokołowski";585;
1430000;"Powiat szydłowiecki";138;
1432000;"Powiat warszawski zachodni";202;
1433000;"Powiat węgrowski";653;
1434000;"Powiat wołomiński";436;
1435000;"Powiat wyszkowski";397;
1436000;"Powiat zwoleński";405;
1437000;"Powiat żuromiński";491;
1438000;"Powiat żyrardowski";271;
1601000;"Powiat brzeski";505;
1602000;"Powiat głubczycki";538;
1603000;"Powiat kędzierzyńsko-kozielski";300;
1604000;"Powiat kluczborski";517;
